zona|ID
S-2.3.2|747
S-2.3.3|748
S-2.3.4|749
S-2.3.5|750
S-2.3.6|751
S-2.3.7|752
S-2.3.8|753
S-2.3.9|754
S-2.4.1|755
S-2.4.10|756
S-2.4.11|757
S-2.4.12|758
S-2.4.13|759
S-2.4.14|760
S-2.4.2|761
S-2.4.3|762
S-2.4.4|763
S-2.4.5|764
S-2.4.6|765
S-2.4.7|766
S-2.4.8|767
S-2.4.9|768
S-2.5.1|769
S-2.5.10|770
S-2.5.11|771
S-2.5.2|772
S-2.5.3|773
S-2.5.4|774
S-2.5.5|775
S-2.5.6|776
S-2.5.7|777
S-2.5.8|778
S-2.5.9|779
S-3.1.1|780
S-3.1.2|781
S-3.1.3|782
S-3.1.4|783
S-3.1.5|784
S-3.1.6|785
S-3.2.1|786
S-3.2.10|787
S-3.2.11|788
S-3.2.12|789
S-3.2.13|790
S-3.2.2|791
S-3.2.3|792
S-3.2.4|793
S-3.2.5|794
S-3.2.6|795
S-3.2.7|796
S-3.2.8|797
S-3.2.9|798
S-3.3.1|799
S-3.3.10|800
S-3.3.11|801
S-3.3.12|802
S-3.3.13|803
S-3.3.14|804
S-3.3.15|805
S-3.3.16|806
S-3.3.17|807
S-3.3.2|808
S-3.3.3|809
S-3.3.4|810
S-3.3.5|811
S-3.3.6|812
S-3.3.7|813
S-3.3.8|814
S-3.3.9|815
S-3.4.1|816
S-3.4.10|817
S-3.4.2|818
S-3.4.3|819
S-3.4.4|820
S-3.4.5|821
S-3.4.6|822
S-3.4.7|823
S-3.4.8|824
S-3.4.9|825
S-3.5.1|826
S-3.5.10|827
S-3.5.11|828
S-3.5.12|829
S-3.5.13|830
S-3.5.14|831
S-3.5.15|832
S-3.5.2|833
S-3.5.3|834
S-3.5.4|835
S-3.5.5|836
S-3.5.6|837
S-3.5.7|838
S-3.5.8|839
S-3.5.9|840
S-3.6.1|841
S-3.6.2|842
S-3.6.3|843
S-3.6.4|844
S-3.6.5|845
S-3.6.6|846
S-3.6.7|847
S-3.6.8|848
